p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100,drift,f1
0.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,7.0,9.0,0,0.9178789920684164
0.0,1.0,2.0,2.0,2.0,2.0,3.0,10.0,11.0,12.0,0.0,0,0.9081884549021394
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,461.0,0,0.9157485422086096
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,461.0,0,0.919283363095341
0.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,516.0,0,0.9173562498672077
0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,4.0,6.0,517.0,0,0.920237690639806
0.0,0.0,1.0,1.0,0.0,1.0,3.0,9.0,9.0,13.0,405.0,0,0.9114099646138256
0.0,1.0,1.0,1.0,2.0,6.0,10.0,16.0,14.0,22.0,405.0,0,0.9182371280759192
0.0,2.0,2.0,1.0,2.0,5.0,9.0,17.0,16.0,23.0,517.0,0,0.9121121429073022
0.0,2.0,2.0,2.0,3.0,7.0,12.0,21.0,20.0,30.0,490.0,0,0.907971940899449
0.0,3.0,3.0,3.0,3.0,7.0,11.0,21.0,20.0,28.0,634.0,0,0.9030527128047736
0.0,2.0,1.0,1.0,1.0,4.0,9.0,17.0,16.0,22.0,618.0,0,0.9095914208487637
0.0,2.0,3.0,3.0,4.0,9.0,16.0,25.0,23.0,32.0,405.0,0,0.9081356486358848
0.0,0.0,2.0,1.0,0.0,2.0,6.0,11.0,9.0,16.0,405.0,0,0.9247642124373052
0.0,2.0,0.0,1.0,0.0,3.0,10.0,18.0,14.0,23.0,351.0,0,0.8957931958884557
0.0,3.0,1.0,0.0,1.0,6.0,12.0,21.0,17.0,29.0,194.0,0,0.8932803643645025
0.0,3.0,1.0,1.0,0.0,3.0,8.0,13.0,9.0,14.0,245.0,0,0.895994137142256
0.0,3.0,1.0,1.0,0.0,3.0,10.0,16.0,11.0,17.0,298.0,0,0.9017888329071426
0.0,3.0,1.0,0.0,1.0,6.0,10.0,14.0,8.0,7.0,575.0,0,0.8992112624675995
0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,22.0,694.0,0,0.9124172542607668
0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,12.0,29.0,819.0,0,0.9077059374534168
0.0,0.0,2.0,2.0,2.0,4.0,2.0,5.0,12.0,36.0,517.0,0,0.9080518570229412
0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,8.0,26.0,756.0,0,0.9001258527803102
0.0,2.0,2.0,1.0,0.0,1.0,0.0,10.0,16.0,36.0,694.0,0,0.8933453503102977
0.0,0.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,298.0,0,0.9168627917547184
0.0,2.0,1.0,3.0,2.0,2.0,2.0,7.0,5.0,6.0,298.0,0,0.9172291411086873
0.0,3.0,1.0,1.0,1.0,1.0,7.0,13.0,9.0,11.0,351.0,0,0.9137821326409464
0.0,3.0,1.0,1.0,0.0,4.0,11.0,16.0,12.0,14.0,194.0,0,0.9146969781217578
0.0,3.0,1.0,0.0,1.0,5.0,12.0,20.0,16.0,23.0,245.0,0,0.9077176562958548
0.0,0.0,2.0,3.0,2.0,5.0,4.0,3.0,0.0,10.0,517.0,0,0.92572785125415
0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,16.0,634.0,0,0.9102985250961791
0.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,12.0,30.0,949.0,0,0.9014091430077952
0.0,3.0,3.0,3.0,1.0,1.0,2.0,11.0,16.0,37.0,756.0,0,0.8954634255784295
0.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,10.0,28.0,694.0,0,0.9057350211152958
0.0,0.0,2.0,2.0,3.0,5.0,8.0,13.0,7.0,1.0,517.0,0,0.9120974064302674
0.0,2.0,5.0,7.0,7.0,12.0,15.0,22.0,17.0,5.0,351.0,0,0.9238839480865424
0.0,1.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,20.0,634.0,0,0.9060261703280612
0.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,6.0,18.0,819.0,0,0.8969973306709057
0.0,0.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,13.0,756.0,0,0.9103753272731328
0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,26.0,575.0,0,0.9121018328862708
0.0,2.0,2.0,2.0,1.0,0.0,2.0,11.0,15.0,33.0,756.0,0,0.9013853147302022
0.0,2.0,1.0,0.0,0.0,1.0,1.0,10.0,15.0,33.0,883.0,0,0.9111392296651972
0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,9.0,24.0,694.0,0,0.9111040755730874
0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,14.0,31.0,351.0,0,0.9171573101042724
0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,14.0,819.0,0,0.903528049035538
0.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,10.0,634.0,0,0.9070326658470496
0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,6.0,18.0,694.0,0,0.8987824327114818
0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,16.0,756.0,0,0.8953882322440755
0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0,18.0,575.0,0,0.9042321127629086
0.0,1.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,8.0,517.0,0,0.9203236078129984
0.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,9.0,428.0,0,0.9174560814452434
0.0,1.0,0.0,0.0,0.0,2.0,6.0,13.0,11.0,18.0,181.0,0,0.9119678628238655
0.0,2.0,2.0,2.0,2.0,6.0,10.0,19.0,17.0,28.0,472.0,0,0.9027609429496676
0.0,2.0,3.0,3.0,4.0,9.0,16.0,27.0,26.0,43.0,546.0,0,0.8995163469312255
0.0,3.0,0.0,2.0,3.0,6.0,5.0,0.0,5.0,19.0,694.0,0,0.9107217238162284
0.0,3.0,0.0,2.0,3.0,5.0,2.0,4.0,9.0,25.0,756.0,0,0.911969636086383
0.0,2.0,0.0,3.0,4.0,8.0,7.0,4.0,3.0,16.0,575.0,0,0.9095499634712836
0.0,3.0,0.0,2.0,3.0,5.0,3.0,2.0,7.0,22.0,694.0,0,0.90848066515126
0.0,2.0,0.0,3.0,3.0,6.0,3.0,3.0,9.0,28.0,517.0,0,0.9080882352941176
0.0,4.0,2.0,0.0,0.0,0.0,6.0,16.0,16.0,24.0,575.0,0,0.9144564194820842
0.0,5.0,3.0,1.0,2.0,7.0,16.0,27.0,26.0,44.0,634.0,0,0.9155900580494374
0.0,4.0,2.0,1.0,2.0,8.0,16.0,27.0,26.0,47.0,575.0,0,0.9164497916781644
0.0,3.0,1.0,0.0,0.0,4.0,12.0,22.0,22.0,41.0,634.0,0,0.9212255484994584
0.0,3.0,1.0,0.0,0.0,1.0,8.0,20.0,22.0,43.0,694.0,0,0.917377345709938
0.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,16.0,27.0,694.0,0,0.9227556089619166
0.0,2.0,3.0,4.0,5.0,12.0,23.0,38.0,43.0,67.0,575.0,0,0.906393662182553
0.0,2.0,1.0,2.0,3.0,9.0,18.0,32.0,38.0,65.0,756.0,0,0.9122880698804532
0.0,4.0,5.0,5.0,8.0,14.0,23.0,35.0,39.0,63.0,694.0,0,0.9095020584214156
0.0,3.0,3.0,4.0,3.0,6.0,12.0,26.0,31.0,47.0,575.0,0,0.9059217229451464
0.0,1.0,0.0,1.0,1.0,0.0,5.0,12.0,11.0,15.0,634.0,0,0.9129620605866366
0.0,1.0,1.0,2.0,1.0,1.0,7.0,12.0,10.0,12.0,298.0,0,0.9176918637612848
0.0,2.0,0.0,1.0,1.0,1.0,6.0,12.0,9.0,11.0,405.0,0,0.9160615327821058
0.0,2.0,1.0,2.0,2.0,1.0,5.0,11.0,10.0,13.0,225.0,0,0.9125460958090544
0.0,4.0,2.0,0.0,1.0,4.0,10.0,16.0,13.0,16.0,290.0,0,0.908159009037477
0.0,2.0,6.0,7.0,5.0,5.0,4.0,4.0,9.0,9.0,461.0,0,0.882455936546948
0.0,2.0,1.0,2.0,2.0,5.0,8.0,13.0,10.0,13.0,592.0,0,0.5705538659405448
0.0,1.0,1.0,1.0,2.0,5.0,11.0,19.0,20.0,27.0,245.0,0,0.5710885951186021
0.0,0.0,1.0,1.0,1.0,3.0,6.0,10.0,7.0,10.0,428.0,0,0.685608550428696
0.0,1.0,0.0,0.0,2.0,5.0,9.0,12.0,8.0,10.0,47.0,0,0.7013981520077809
0.0,1.0,0.0,0.0,2.0,6.0,12.0,20.0,23.0,48.0,694.0,0,0.8721941433425013
0.0,1.0,2.0,2.0,1.0,5.0,15.0,28.0,40.0,81.0,756.0,0,0.9185356892024206
0.0,1.0,1.0,1.0,4.0,13.0,24.0,37.0,49.0,93.0,756.0,0,0.9115440925227294
0.0,3.0,2.0,3.0,8.0,18.0,32.0,47.0,64.0,118.0,517.0,0,0.9073730562998296
0.0,2.0,1.0,2.0,8.0,17.0,31.0,46.0,63.0,121.0,218.0,0,0.9080723363585776
0.0,4.0,2.0,1.0,3.0,9.0,17.0,27.0,23.0,35.0,351.0,0,0.9089974980858506
0.0,3.0,1.0,0.0,1.0,4.0,11.0,18.0,14.0,18.0,517.0,0,0.9086368547603286
0.0,4.0,2.0,0.0,1.0,5.0,13.0,21.0,17.0,24.0,47.0,0,0.9076376113944548
0.0,3.0,1.0,0.0,1.0,5.0,11.0,17.0,13.0,15.0,95.0,0,0.9143885398695244
0.0,2.0,0.0,1.0,0.0,2.0,9.0,16.0,13.0,15.0,339.0,0,0.9100634070422642
